enrollment_id,time,source,event,object
1,2014-06-14T09:38:29,server,nagivate,Oj6eQgzrdqBMlaCtaq1IkY6zruSrb71b
1,2014-06-14T09:38:39,server,access,3T6XwoiMKgol57cm29Rjy8FXVFcIomxl
1,2014-06-14T09:38:39,server,access,qxvBNYTfiRkNcCvM0hcGwG6hvHdQwnd4
1,2014-06-14T09:38:48,server,access,2cmZrZW2h6Il91itO3e89FGcABLWhf3W
1,2014-06-14T09:41:49,browser,problem,RMtgC2bTAqEeftenUUyia504wsyzeZWf
1,2014-06-14T09:41:50,browser,problem,RMtgC2bTAqEeftenUUyia504wsyzeZWf
1,2014-06-14T09:42:28,browser,problem,RMtgC2bTAqEeftenUUyia504wsyzeZWf
1,2014-06-14T09:42:30,browser,problem,RMtgC2bTAqEeftenUUyia504wsyzeZWf
1,2014-06-14T09:43:20,browser,problem,RMtgC2bTAqEeftenUUyia504wsyzeZWf
1,2014-06-14T09:43:25,browser,problem,RMtgC2bTAqEeftenUUyia504wsyzeZWf
1,2014-06-14T09:43:25,server,problem,RMtgC2bTAqEeftenUUyia504wsyzeZWf
1,2014-06-14T09:43:40,server,problem,RMtgC2bTAqEeftenUUyia504wsyzeZWf
1,2014-06-14T09:44:29,browser,page_close,3T6XwoiMKgol57cm29Rjy8FXVFcIomxl
1,2014-06-19T06:21:04,server,nagivate,Oj6eQgzrdqBMlaCtaq1IkY6zruSrb71b
1,2014-06-19T06:21:16,server,access,3T6XwoiMKgol57cm29Rjy8FXVFcIomxl
1,2014-06-19T06:21:16,server,access,8BopBkeW8JHRxRO6g7IH7OdTK1nJDjGg
1,2014-06-19T06:21:32,server,access,qxvBNYTfiRkNcCvM0hcGwG6hvHdQwnd4
1,2014-06-19T06:21:32,browser,page_close,3T6XwoiMKgol57cm29Rjy8FXVFcIomxl
1,2014-06-19T06:21:45,server,access,0OkCwDvaJhsSkoN6yuhvnxMAJXu8tx6G
1,2014-06-19T06:21:46,browser,page_close,3T6XwoiMKgol57cm29Rjy8FXVFcIomxl
1,2014-06-19T06:22:12,server,access,2cmZrZW2h6Il91itO3e89FGcABLWhf3W
1,2014-06-19T06:22:13,browser,page_close,3T6XwoiMKgol57cm29Rjy8FXVFcIomxl
1,2014-06-19T06:22:22,server,nagivate,cF0fMr9vkStFpfEj29U5ljbhNLciMaZq
1,2014-06-19T06:26:43,browser,problem,RMtgC2bTAqEeftenUUyia504wsyzeZWf
1,2014-06-19T06:26:43,server,problem,RMtgC2bTAqEeftenUUyia504wsyzeZWf
1,2014-06-19T06:33:10,browser,problem,gt8kWd1l61MQplUpLp67mfMgQ8eAMp03
1,2014-06-19T06:33:12,browser,problem,gt8kWd1l61MQplUpLp67mfMgQ8eAMp03
1,2014-06-19T06:33:42,server,nagivate,vPJ7ada7OqDfvYXMjnTQC3NExmLvWiUL
1,2014-06-19T06:33:44,browser,page_close,3T6XwoiMKgol57cm29Rjy8FXVFcIomxl
1,2014-06-19T06:34:14,server,access,3T6XwoiMKgol57cm29Rjy8FXVFcIomxl
1,2014-06-19T06:34:14,server,access,8BopBkeW8JHRxRO6g7IH7OdTK1nJDjGg
1,2014-06-19T06:57:58,server,access,2cmZrZW2h6Il91itO3e89FGcABLWhf3W
1,2014-06-19T06:57:59,browser,page_close,3T6XwoiMKgol57cm29Rjy8FXVFcIomxl
1,2014-06-19T06:59:43,browser,problem,rLH9c5YRr5i66ninvgJkjZQaOcxbecWl
1,2014-06-19T06:59:44,browser,problem,rLH9c5YRr5i66ninvgJkjZQaOcxbecWl
1,2014-06-19T06:59:56,server,nagivate,vPJ7ada7OqDfvYXMjnTQC3NExmLvWiUL
1,2014-06-19T06:59:57,browser,page_close,3T6XwoiMKgol57cm29Rjy8FXVFcIomxl
1,2014-06-21T09:54:44,server,nagivate,Oj6eQgzrdqBMlaCtaq1IkY6zruSrb71b
1,2014-06-21T09:54:50,server,access,3T6XwoiMKgol57cm29Rjy8FXVFcIomxl
1,2014-06-21T09:54:51,server,access,8BopBkeW8JHRxRO6g7IH7OdTK1nJDjGg
1,2014-06-21T09:54:59,server,access,ujPePr99GuN7Prt1NwXj4rsm8OzazPO2
