enrollment_id,log_frequency
1,0.466666667
3,0.3
4,0.266666667
5,0.366666667
6,0.066666667
7,0.333333333
9,0.2
12,0.3
13,0.266666667
16,0.366666667
18,0.366666667
22,0.066666667
28,0.2
30,0.066666667
31,0.3
32,0.166666667
35,0.4
39,0.266666667
45,0.533333333
46,0.033333333
49,0.966666667
50,0.2
54,0.033333333
58,0.533333333
60,0.233333333
65,0.233333333
67,0.366666667
68,0.2
71,0.333333333
73,0.266666667
74,0.4
75,0.566666667
78,0.366666667
81,0.3
82,0.3
83,0.2
86,0.366666667
87,0.2
90,0.433333333
92,0.033333333
93,0.133333333
94,0.466666667
96,0.266666667
97,0.066666667
98,0.466666667
101,0.266666667
102,0.033333333
104,0.366666667
106,0.233333333
107,0.1
109,0.066666667
111,0.1
112,0.4
114,0.033333333
119,0.366666667
120,0.266666667
121,0.233333333
122,0.266666667
123,0.3
129,0.133333333
130,0.166666667
131,0.033333333
132,0.066666667
134,0.133333333
135,0.433333333
138,0.133333333
140,0.466666667
141,0.2
142,0.233333333
143,0.033333333
144,0.333333333
146,0.533333333
148,0.6
149,0.033333333
150,0.066666667
151,0.233333333
156,0.066666667
159,0.3
160,0.066666667
161,0.333333333
162,0.166666667
166,0.4
167,0.233333333
170,0.333333333
172,0.466666667
173,0.566666667
174,0.166666667
175,0.033333333
176,0.3
180,0.233333333
182,0.433333333
186,0.1
189,0.333333333
190,0.233333333
192,0.633333333
193,0.066666667
196,0.1
198,0.566666667
199,0.333333333
200,0.066666667
201,0.4
204,0.1
208,0.133333333
209,0.233333333
214,0.3
219,0.6
221,0.433333333
222,0.166666667
223,0.033333333
227,0.233333333
228,0.566666667
230,0.033333333
231,0.166666667
233,0.233333333
234,0.266666667
235,0.3
239,0.666666667
241,0.2
242,0.4
244,0.233333333
245,0.233333333
248,0.033333333
250,0.433333333
251,0.166666667
252,0.3
254,0.1
255,0.333333333
256,0.033333333
258,0.1
261,0.266666667
262,0.033333333
264,0.033333333
266,0.466666667
267,0.133333333
268,0.4
269,0.333333333
270,0.433333333
272,0.4
277,0.166666667
278,0.133333333
279,0.4
280,0.033333333
281,0.033333333
284,0.8
288,0.266666667
293,0.133333333
294,0.033333333
297,0.366666667
298,0.3
301,0.4
302,0.533333333
307,0.233333333
309,0.266666667
310,0.233333333
311,0.4
313,0.266666667
314,0.266666667
315,0.033333333
316,0.1
317,0.166666667
319,0.433333333
320,0.033333333
321,0.266666667
323,0.366666667
324,0.333333333
325,0.1
327,0.866666667
329,0.233333333
332,0.333333333
334,0.433333333
335,0.4
338,0.033333333
339,0.233333333
340,0.166666667
341,0.233333333
343,0.033333333
345,0.366666667
346,0.166666667
351,0.466666667
352,0.433333333
353,0.033333333
354,0.2
355,0.266666667
357,0.566666667
358,0.033333333
361,0.1
364,0.333333333
366,0.2
367,0.033333333
370,0.033333333
371,0.233333333
373,0.366666667
375,0.166666667
377,0.2
382,0.433333333
386,0.066666667
393,0.033333333
394,0.266666667
396,0.233333333
398,0.1
399,0.4
400,0.233333333
402,0.333333333
406,0.2
407,0.266666667
410,0.033333333
412,0.166666667
420,0.033333333
424,0.166666667
425,0.366666667
426,0.2
431,0.166666667
433,0.633333333
435,0.2
436,0.266666667
438,0.033333333
441,0.2
442,0.133333333
444,0.566666667
445,0.1
446,0.066666667
447,0.033333333
448,0.433333333
450,0.266666667
451,0.366666667
454,0.233333333
458,0.466666667
459,0.4
460,0.2
461,0.333333333
463,0.033333333
464,0.266666667
466,0.133333333
467,0.233333333
469,0.433333333
471,0.366666667
474,0.033333333
480,0.366666667
482,0.266666667
484,0.1
486,0.133333333
490,0.166666667
491,0.1
493,0.4
496,0.233333333
500,0.033333333
501,0.1
509,0.166666667
511,0.066666667
512,0.233333333
514,0.266666667
515,0.466666667
516,0.4
517,0.466666667
518,0.166666667
520,0.033333333
522,0.5
523,0.333333333
525,0.033333333
526,0.766666667
530,0.233333333
532,0.466666667
533,0.2
534,0.1
535,0.1
536,0.2
541,0.4
543,0.133333333
545,0.066666667
546,0.133333333
547,0.233333333
548,0.1
550,0.066666667
553,0.066666667
555,0.066666667
556,0.133333333
562,0.1
566,0.3
576,0.166666667
579,0.133333333
580,0.366666667
581,0.233333333
582,0.433333333
587,0.266666667
588,0.333333333
590,0.066666667
591,0.6
592,0.266666667
598,0.266666667
599,0.333333333
600,0.266666667
602,0.1
603,0.033333333
611,0.333333333
612,0.166666667
613,0.166666667
614,0.033333333
616,0.066666667
617,0.033333333
620,0.033333333
621,0.2
625,0.133333333
627,0.033333333
629,0.133333333
633,0.233333333
634,0.566666667
636,0.433333333
639,0.366666667
643,0.166666667
644,0.066666667
646,0.233333333
650,0.366666667
654,0.166666667
658,0.433333333
659,0.166666667
662,0.266666667
667,0.033333333
668,0.1
673,0.133333333
676,0.166666667
677,0.7
682,0.166666667
683,0.066666667
687,0.3
689,0.066666667
692,0.4
697,0.3
699,0.066666667
701,0.133333333
704,0.166666667
705,0.033333333
707,0.1
711,0.4
712,0.033333333
714,0.333333333
715,0.3
717,0.466666667
718,0.333333333
719,0.033333333
721,0.033333333
722,0.066666667
724,0.066666667
725,0.1
728,0.233333333
730,0.166666667
731,0.033333333
734,0.166666667
736,0.166666667
738,0.266666667
740,0.233333333
742,0.5
744,0.033333333
745,0.033333333
746,0.266666667
749,0.466666667
750,0.1
753,0.033333333
756,0.033333333
757,0.133333333
760,0.333333333
761,0.766666667
763,0.166666667
769,0.1
773,0.066666667
774,0.366666667
775,0.366666667
777,0.533333333
778,0.3
780,0.433333333
781,0.2
783,0.333333333
785,0.1
789,0.266666667
792,0.1
793,0.033333333
796,0.033333333
799,0.266666667
800,0.1
803,0.033333333
804,0.033333333
806,0.033333333
809,0.466666667
810,0.133333333
815,0.2
818,0.033333333
820,0.2
822,0.033333333
824,0.1
830,0.033333333
835,0.6
837,0.233333333
838,0.033333333
839,0.033333333
840,0.433333333
841,0.033333333
845,0.033333333
850,0.066666667
852,0.2
854,0.033333333
858,0.466666667
860,0.333333333
861,0.066666667
862,0.566666667
863,0.166666667
865,0.266666667
868,0.4
871,0.2
873,0.033333333
875,0.366666667
877,0.033333333
878,0.333333333
882,0.433333333
884,0.233333333
885,0.466666667
887,0.466666667
888,0.033333333
890,0.166666667
891,0.1
893,0.033333333
899,0.433333333
900,0.066666667
903,0.3
904,0.133333333
906,0.333333333
907,0.2
917,0.7
919,0.033333333
922,0.666666667
923,0.433333333
924,0.1
925,0.2
930,0.166666667
933,0.466666667
936,0.4
937,0.533333333
938,0.033333333
939,0.133333333
941,0.166666667
942,0.066666667
945,0.333333333
946,0.133333333
950,0.066666667
951,0.366666667
952,0.033333333
953,0.4
954,0.233333333
955,0.3
956,0.033333333
958,0.133333333
960,0.033333333
962,0.066666667
964,0.133333333
965,0.366666667
966,0.133333333
967,0.133333333
970,0.533333333
971,0.4
974,0.1
976,0.366666667
978,0.433333333
984,0.066666667
985,0.433333333
987,0.3
988,0.4
989,0.133333333
991,0.033333333
992,0.033333333
996,0.233333333
997,0.366666667
999,0.033333333
1000,0.433333333
1001,0.566666667
1002,0.033333333
1008,0.1
1011,0.166666667
1018,0.466666667
1019,0.433333333
1020,0.166666667
1021,0.4
1022,0.033333333
1023,0.033333333
1028,0.566666667
1029,0.366666667
1037,0.333333333
1040,0.333333333
1041,0.333333333
1043,0.133333333
1044,0.066666667
1045,0.033333333
1049,0.066666667
1050,0.366666667
1052,0.033333333
1054,0.3
1056,0.366666667
1057,0.166666667
1058,0.066666667
1066,0.133333333
1069,0.466666667
1073,0.066666667
1074,0.266666667
1075,0.2
1076,0.266666667
1077,0.566666667
1082,0.233333333
1084,0.166666667
1085,0.233333333
1086,0.233333333
1087,0.266666667
1088,0.133333333
1089,0.366666667
1090,0.2
1091,0.266666667
1092,0.333333333
1095,0.2
1096,0.333333333
1098,0.2
