enrollment_id,course_start_time
1,2014-06-12T16:00:00
3,2014-06-19T00:00:00
4,2014-06-12T16:00:00
5,2014-06-19T00:00:00
6,2014-06-04T01:00:00
7,2014-06-19T00:00:00
9,2014-06-12T16:00:00
12,2014-06-12T16:00:00
13,2014-06-09T01:00:00
16,2014-06-12T16:00:00
18,2014-06-12T16:00:00
22,2014-06-19T00:00:00
28,2014-06-11T01:00:00
30,2014-06-12T16:00:00
31,2014-06-12T16:00:00
32,2014-06-04T01:00:00
35,2014-06-12T16:00:00
39,2014-06-12T16:00:00
45,2014-06-19T00:00:00
46,2014-06-15T16:00:00
49,2014-06-19T00:00:00
50,2014-06-19T00:00:00
54,2014-06-12T16:00:00
58,2014-06-19T00:00:00
60,2014-06-12T16:00:00
65,2014-06-12T16:00:00
67,2014-06-12T16:00:00
68,2014-06-12T16:00:00
71,2014-06-12T16:00:00
73,2014-06-12T16:00:00
74,2014-06-12T16:00:00
75,2014-06-12T16:00:00
78,2014-06-12T16:00:00
81,2014-06-12T16:00:00
82,2014-06-04T01:00:00
83,2014-06-12T16:00:00
86,2014-06-12T16:00:00
87,2014-06-04T01:00:00
90,2014-06-12T16:00:00
92,2014-06-12T16:00:00
93,2014-06-04T01:00:00
94,2014-06-12T16:00:00
96,2014-06-19T00:00:00
97,2014-06-11T01:00:00
98,2014-06-12T16:00:00
101,2014-06-12T16:00:00
102,2014-06-12T16:00:00
104,2014-06-12T16:00:00
106,2014-06-12T16:00:00
107,2014-06-12T16:00:00
109,2014-06-04T01:00:00
111,2014-06-12T16:00:00
112,2014-06-12T16:00:00
114,2014-06-09T01:00:00
119,2014-06-12T16:00:00
120,2014-06-12T16:00:00
121,2014-06-12T16:00:00
122,2014-06-04T01:00:00
123,2014-06-12T16:00:00
129,2014-06-12T16:00:00
130,2014-06-12T16:00:00
131,2014-06-12T16:00:00
132,2014-06-11T01:00:00
134,2014-06-19T00:00:00
135,2014-06-04T01:00:00
138,2014-06-04T01:00:00
140,2014-06-12T16:00:00
141,2014-06-19T00:00:00
142,2014-06-12T16:00:00
143,2014-06-04T01:00:00
144,2014-06-11T01:00:00
146,2014-06-12T16:00:00
148,2014-06-12T16:00:00
149,2014-06-04T01:00:00
150,2014-06-04T01:00:00
151,2014-06-12T16:00:00
156,2014-06-11T01:00:00
159,2014-06-12T16:00:00
160,2014-06-04T01:00:00
161,2014-06-04T01:00:00
162,2014-06-12T16:00:00
