14,0.429668
20,0.446167
23,0.497982
26,0.281359
48,0.319380
51,0.113609
53,0.038284
55,0.192130
69,0.617821
70,0.294397
76,0.339962
80,0.778048
88,0.124149
95,0.563598
103,0.122248
113,0.168853
133,0.326023
152,0.150499
155,0.183497
157,0.413668
164,0.948968
171,0.743356
178,0.113017
195,0.521272
212,0.935668
216,0.574361
226,0.960771
240,0.178664
247,0.441434
249,0.722746
257,0.257107
265,0.504856
275,0.634180
282,0.347801
285,0.235036
286,0.942162
295,0.053717
304,0.121194
305,0.954412
322,0.239150
337,0.148603
344,0.094369
349,0.229512
360,0.948087
379,0.882935
387,0.266877
390,0.333096
403,0.555169
414,0.067906
419,0.946865
421,0.943117
428,0.733591
429,0.298354
432,0.200299
452,0.209149
475,0.389001
487,0.947381
497,0.963957
505,0.160557
507,0.937272
527,0.960771
552,0.120459
558,0.383290
561,0.588897
572,0.747854
583,0.945540
584,0.684729
589,0.714792
594,0.097435
606,0.049804
609,0.700822
615,0.284332
630,0.653947
635,0.626664
638,0.078348
645,0.760280
652,0.673579
660,0.233070
661,0.501794
663,0.317119
680,0.629791
685,0.656260
686,0.963957
690,0.105171
691,0.550634
693,0.079562
695,0.264364
700,0.950385
703,0.250597
709,0.175057
713,0.963957
723,0.916557
726,0.300510
727,0.561636
733,0.607286
743,0.871638
751,0.080202
752,0.307951
758,0.238596
762,0.928271
768,0.960771
771,0.763375
788,0.293225
790,0.222114
791,0.302249
797,0.905817
802,0.161227
805,0.436366
819,0.816397
821,0.124524
825,0.157761
827,0.547390
833,0.889243
843,0.946944
844,0.833222
848,0.387628
853,0.103115
870,0.215839
872,0.300275
895,0.181783
901,0.441201
911,0.159759
912,0.443392
916,0.269896
921,0.128209
935,0.914989
940,0.058133
961,0.947381
963,0.133886
980,0.678185
994,0.091936
1005,0.296294
1006,0.626072
1007,0.216732
1015,0.577357
1024,0.189131
1030,0.138566
1031,0.921355
1033,0.240846
1035,0.292854
1046,0.912605
1065,0.286873
1072,0.931700
1078,0.084127
1080,0.097309
1099,0.200294
1103,0.514193
1133,0.292870
1145,0.327034
1147,0.190349
1150,0.039170
1164,0.900834
1174,0.441145
1181,0.865073
1182,0.050912
1213,0.694991
1223,0.232034
1225,0.537185
